id,question,answer,focus,source
599,Do you have information about Orthodontia,"Summary : Some people have naturally straight teeth that fit together. But if you have problems with your bite or the spacing of your teeth, you may need orthodontic care. Orthodontia is the branch of dentistry that deals with abnormalities of the teeth and jaw.    Orthodontic care involves the use of devices, such as braces, to       -  Straighten teeth    -  Correct problems with bite    -  Close gaps between teeth    -  Align lips and teeth properly        Most people who receive orthodontic care are kids, but adults get braces, too. In young children, orthodontic treatment may guide proper jaw growth. This can help permanent teeth to come in properly. Straight permanent teeth can help prevent tooth problems later on.",Orthodontia,MPlusHealthTopics
600,What is (are) Hereditary hemorrhagic telangiectasia?,"Hereditary hemorrhagic telangiectasia (HHT) is an inherited disorder of the blood vessels that can cause excessive bleeding. People with this condition can develop abnormal blood vessels called arteriovenous malformations (AVMs) in several areas of the body. If they are on the skin, they are called telangiectasias. The AVMs can also develop in other parts of the body, such as the brain, lungs, liver, or intestines. HHT is caused by mutations in the ACVRL1, ENG, and SMAD4 genes. It is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. There is no cure for HHT. Treatment is symptomatic and supportive, with a focus on controlling bleeding, either through surgery or medication.",Hereditary hemorrhagic telangiectasia,GARD
601,What are the treatments for Blue rubber bleb nevus syndrome?,"How might blue rubber bleb nevus syndrome be treated? Treatment of blue rubber bleb nevus syndrome varies depending on the severity and location of the affected areas. Skin spots do not usually require treatment, but some individuals with this condition may want treatment for cosmetic reasons or if the location of the nevus causes discomfort or affects normal function. Bleeding in the intestines may be treated with iron supplements and blood transfusions when necessary. Surgery to remove an affected area of bowel may be recommended for repeated or severe bleeding (hemorrhage).",Blue rubber bleb nevus syndrome,GARD
602,Is 3-Hydroxyisobutyric aciduria inherited?,"Is 3-hydroxyisobutyric aciduria inherited? Cases of 3-hydroxyisobutyric aciduria thought to be caused by changes (mutations) in the ALDH6A1 gene are inherited in an autosomal recessive manner. This means that to be affected, a person must have a mutation in both copies of the responsible gene in each cell. The parents of an affected person usually each carry one mutated copy of the gene and are referred to as carriers. Carriers typically do not show signs or symptoms of the condition. When two carriers of an autosomal recessive condition have children, each child has a 25% (1 in 4) risk to have the condition, a 50% (1 in 2) risk to be a carrier like each of the parents, and a 25% chance to not have the condition and not be a carrier.",3-Hydroxyisobutyric aciduria,GARD
603,How to diagnose Lemierre syndrome?,"How is Lemierre syndrome diagnosed? After performing blood cultures and complete blood counts, contrast computed tomography (CT) of the neck provides the definitive diagnosis. Ultrasound can also confirm internal jugular vein thrombosis.",Lemierre syndrome,GARD
604,What is (are) Rabson-Mendenhall syndrome?,"Rabson-Mendenhall syndrome is a genetic disorder characterized by severe insulin resistance. Insulin, a hormone produced by the pancreas, regulates blood sugar levels by promoting the movement of glucose into cells for energy production or into the liver and fat cells for storage. Symptoms of Rabson-Mendenhall syndrome may include intrauterine and postnatal growth retardation, hypertrophy of muscle and fat tissues, abnormalities of the head and face, abnormalities of the teeth and nails, and skin abnormalities such as acanthosis nigricans. Additional symptoms may also be present. Rabson-Mendenhall syndrome is inherited in an autosomal recessive manner. Treatment is difficult and may include high doses of insulin and/or recombinant insulin-like growth factor.",Rabson-Mendenhall syndrome,GARD
605,What causes Dystonia 8?,"Are there non-genetic causes of paroxysmal nonkinesigenic dyskinesia? Yes. Sporadic (non-genetic) causes of paroxysmal nonkinesigenic dyskinesia have been reported in the literature. Non-genetic causes include lesions of the basal ganglia due to multiple sclerosis, tumors, and vascular lesions. In addition, lesions outside the basal ganglia (including those due to penetrating injury) have been reported as causing symptoms similar to those found in paroxysmal nonkinesigenic dyskinesia. In these situations, careful evaluation by a neurologist and neuroimaging (such as MRI) may be necessary for diagnosis.",Dystonia 8,GARD
606,"What is (are) 2,4-Dienoyl-CoA reductase deficiency?","2,4-Dienoyl-CoA reductase deficiency is associated with hypotonia and respiratory acidosis in infancy. This condition may be associated with the DECR1 gene and likely has an autosomal recessive pattern of inheritance.","2,4-Dienoyl-CoA reductase deficiency",GARD
607,What are the treatments for Noonan syndrome 3?,How might Noonan syndrome be treated? Management generally focuses on the specific signs and symptoms present in each person. Treatments for the complications of Noonan syndrome (such as cardiovascular abnormalities) are generally standard and do not differ from treatment in the general population. Developmental disabilities are addressed by early intervention programs and individualized education strategies. Treatment for serious bleeding depends upon the specific factor deficiency or platelet abnormality. Growth hormone treatment increases growth velocity. More detailed information about treatment for Noonan syndrome can be viewed on the GeneReviews Web site.,Noonan syndrome 3,GARD
608,What is (are) Trigeminal neuralgia?,"Trigeminal neuralgia is a nerve disorder that causes a stabbing or electric-shock-like pain in parts of the face. The pain lasts a few seconds to a few minutes, and usually on only one side of the face. It can also cause muscle spasms in the face the same time as the pain. The pain may result from a blood vessel pressing against the trigeminal nerve (the nerve that carries pain, feeling, and other sensations from the brain to the skin of the face), as a complication of multiple sclerosis, or due to compression of the nerve by a tumor or cyst. In some cases, the cause is unknown. Treatment options include medicines, surgery, and complementary approaches.",Trigeminal neuralgia,GARD
609,What are the symptoms of Tylosis with esophageal cancer?,"What are the signs and symptoms of Tylosis with esophageal cancer? The main features of Tylosis with esophageal cancer are palmoplantar keratoderma and esophageal cancer. The palmoplantar keratoderma usually begins around age 10, and the soles of the feet are usually more severely affected that the palms of the hands. Esophageal carcinoma usually develops in the lower two-thirds of the esophagus at an average age of 45 years. The Human Phenotype Ontology provides the following list of signs and symptoms for Tylosis with esophageal cancer. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the intestine 90% Esophageal neoplasm 90% Gastrointestinal hemorrhage 90% Nausea and vomiting 90% Palmoplantar keratoderma 90% Abnormality of the mediastinum 50% Ascites 50% Feeding difficulties in infancy 50% Hepatomegaly 50% Weight loss 50% Clubbing of toes 7.5% Vocal cord paresis 7.5% Abnormality of the mouth - Autosomal dominant inheritance - Diffuse palmoplantar hyperkeratosis - Esophageal carcinoma - Parakeratosis - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",Tylosis with esophageal cancer,GARD
610,What is (are) Congenital radio-ulnar synostosis?,"Congenital radio-ulnar synostosis is a rare condition in which there is an abnormal connection (synostosis) of the radius and ulna (bones in the forearm) at birth. The condition is present in both arms (bilateral) in approximately 60% of cases. Signs and symptoms depend on the severity of the abnormality and whether it is bilateral; affected individuals often have limited rotational movement of the forearm. Pain is usually not present until the teenage years. It is due to abnormal fetal development of the forearm bones, but the underlying cause is not always known. It is sometimes a feature of certain chromosome abnormalities or genetic syndromes. Some cases appear to be inherited in an autosomal dominant manner. Treatment may be conservative or involve surgery depending on the severity of the abnormality and the range of movement.",Congenital radio-ulnar synostosis,GARD
611,What are the treatments for Chordoma?,"How might a chordoma be treated? Unfortunately, because chordomas are quite rare, the best treatment for these tumors has yet to be determined.  The current treatment for chordoma of the clivus often begins with surgery (resection) to remove as much of the tumor as possible.  The extent of surgery, or the amount of tumor that may be removed, depends on the location of the tumor and how close it is to critical structures in the brain.  Surgery is followed by radiation therapy to destroy any cancer cells that may remain after surgery.  Several studies have suggested that proton beam radiation or combined proton/photon radiation may be more effect than conventional photon radiation therapy for treating chordomas of the skull base because proton radiation may allow for a greater dose of radiation to be delivered to the tumor without damaging the surrounding normal tissues.  Approximately 60-70% of individuals treated with combined surgery and radiation therapy remained tumor-free for at least five years.",Chordoma,GARD
612,What are the symptoms of Renal oncocytoma?,"What are the signs and symptoms of Renal oncocytoma? Most people with a renal oncocytoma do not have any signs or symptoms. In fact, these tumors are often discovered incidentally (by chance) while a person is undergoing diagnostic imaging for other conditions. In about a third of cases, people with renal oncocytoma will present with abdominal or flank pain; blood in the urine; and/or an abdominal mass. Affected people usually have a single, unilateral (only affecting one kidney) renal oncocytoma. However, multiple, bilateral (affecting both kidneys) tumors have rarely been reported in people with tuberous sclerosis complex and Birt-Hogg-Dube syndrome. The Human Phenotype Ontology provides the following list of signs and symptoms for Renal oncocytoma. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of metabolism/homeostasis - Mitochondrial inheritance - Neoplasm - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",Renal oncocytoma,GARD
613,What is (are) Factor XIII deficiency?,"Factor XIII deficiency is an extremely rare inherited blood disorder characterized by abnormal blood clotting that may result in abnormal bleeding. Signs and symptoms occur as the result of a deficiency in the blood clotting factor 13, which is responsible for stabilizing the formation of a blood clot. In affected individuals, the blood fails to clot appropriately, resulting in poor wound healing. Blood may seep into surrounding soft tissues, resulting in local pain and swelling. Internal bleeding may occur; about 25 percent of affected individuals experience bleeding in the brain. FXIII deficiency is usually caused by mutations in the F13A1 gene, but mutations have also been found in the F13B gene. It is usually inherited in an autosomal recessive fashion. Acquired forms have also been reported in association with liver failure, inflammatory bowel disease, and myeloid leukemia.",Factor XIII deficiency,GARD
614,What is (are) Galactosialidosis?,"Galactosialidosis is an autosomal recessive lysosomal storage disorder caused by mutations in the CTSA gene. It is characterized by coarse facial features, macular cherry-red spots, angiokeratoma (dark red spots on the skin), vertebral deformities, epilepsy, action myoclonus, and ataxia. There are three different types of galactosialidosis: early infantile, late infantile and juvenile/adult. The three forms of galactosialidosis are distinguished by the age at which symptoms develop and the pattern of features.",Galactosialidosis,GARD
615,What is (are) Ocular cicatricial pemphigoid?,"Ocular cicatricial pemphigoid (OCP) is a form of mucous membrane pemphigoid (a group of rare, chronic autoimmune disorders) that affects the eyes. In the early stages, people with OCP generally experience chronic or relapsing conjunctivitis that is often characterized by tearing, irritation, burning, and/or mucus drainage. If left untreated, OCP can progress to severe conjunctiva scarring and vision loss. Involvement of other mucosal sites and the skin may also occur in OCP. The exact underlying cause is currently unknown. The treatment of OCP aims to slow disease progression and prevent complications. This usually involves long-term use of medications called immunomodulators which help regulate or normalize the immune system.",Ocular cicatricial pemphigoid,GARD
616,How to diagnose Central core disease?,"How is central core disease diagnosed? Because the symptoms of central core disease can be quite variable, a physical examination alone is often not enough to establish a diagnosis.  A combination of the following examinations and testings can diagnosis this condition: a physical examination that confirms muscle weakness, a muscle biopsy that reveals a characteristic appearance of the muscle cells, and/or genetic testing that identifies a mutation in the RYR1.",Central core disease,GARD
617,What are the symptoms of Gracile bone dysplasia?,"What are the signs and symptoms of Gracile bone dysplasia? The Human Phenotype Ontology provides the following list of signs and symptoms for Gracile bone dysplasia. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of bone mineral density 90% Abnormality of the spleen 90% Bowing of the long bones 90% Decreased skull ossification 90% Micromelia 90% Narrow mouth 90% Recurrent fractures 90% Short philtrum 90% Short stature 90% Skeletal dysplasia 90% Slender long bone 90% Tented upper lip vermilion 90% Abnormality of pelvic girdle bone morphology 50% Abnormality of the clavicle 50% Abnormality of the fingernails 50% Abnormality of the helix 50% Abnormality of the metacarpal bones 50% Abnormality of the metaphyses 50% Abnormality of the ribs 50% Anteverted nares 50% Aplasia/Hypoplasia affecting the eye 50% Aplasia/Hypoplasia of the lungs 50% Aplasia/Hypoplasia of the thymus 50% Brachydactyly syndrome 50% Cloverleaf skull 50% Depressed nasal bridge 50% Enlarged thorax 50% Frontal bossing 50% Hypoplasia of penis 50% Intrauterine growth retardation 50% Low-set, posteriorly rotated ears 50% Malar flattening 50% Platyspondyly 50% Renal hypoplasia/aplasia 50% Respiratory insufficiency 50% Short distal phalanx of finger 50% Short nose 50% Short toe 50% Tapered finger 50% Wide nasal bridge 50% Abnormality of neuronal migration 7.5% Abnormality of the fontanelles or cranial sutures 7.5% Aplasia/Hypoplasia involving the nose 7.5% Aplasia/Hypoplasia of the eyebrow 7.5% Blepharophimosis 7.5% Blue sclerae 7.5% Cataract 7.5% Cleft palate 7.5% Cryptorchidism 7.5% Displacement of the external urethral meatus 7.5% Hepatomegaly 7.5% Hypertelorism 7.5% Hypotelorism 7.5% Iris coloboma 7.5% Microcornea 7.5% Muscular hypotonia 7.5% Oligohydramnios 7.5% Rocker bottom foot 7.5% Upslanted palpebral fissure 7.5% Asplenia 5% Aniridia - Ascites - Autosomal dominant inheritance - Failure to thrive - Flared metaphysis - Hydrocephalus - Hypocalcemia - Hypoplastic spleen - Micropenis - Microphthalmia - Prominent forehead - Seizures - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",Gracile bone dysplasia,GARD
618,What is (are) Congenital sucrase-isomaltase deficiency?,"Congenital sucrase-isomaltase deficiency (CSID) is a genetic condition that affects a person's ability to digest certain sugars. People with this condition cannot break down the sugars sucrose (a sugar found in fruits, and also known as table sugar) and maltose (the sugar found in grains). CSID usually becomes apparent after an infant begins to consume fruits, juices, and grains. After ingestion of sucrose or maltose, an affected child will typically experience stomach cramps, bloating, excess gas production, and diarrhea. These digestive problems can lead to failure to thrive and malnutrition. Most affected children are better able to tolerate sucrose and maltose as they get older. CSID is inherited in an autosomal recessive pattern and is caused by mutations in the SI gene.",Congenital sucrase-isomaltase deficiency,GARD
619,"What are the symptoms of Maturity-onset diabetes of the young, type 7?","What are the signs and symptoms of Maturity-onset diabetes of the young, type 7? The Human Phenotype Ontology provides the following list of signs and symptoms for Maturity-onset diabetes of the young, type 7. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal dominant inheritance - Maturity-onset diabetes of the young - Type II diabetes mellitus - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","Maturity-onset diabetes of the young, type 7",GARD
620,What are the treatments for Acute respiratory distress syndrome?,"How might acute respiratory distress syndrome (ARDS) be treated? Typically people with ARDS need to be in an intensive care unit (ICU). The goal of treatment is to provide breathing support and treat the cause of ARDS. This may involve medications to treat infections, reduce inflammation, and remove fluid from the lungs. A breathing machine is used to deliver high doses of oxygen and continued pressure called PEEP (positive end-expiratory pressure) to the damaged lungs. Patients often need to be deeply sedated with medications when using this equipment. Some research suggests that giving medications to temporarily paralyze a person with ARDS will increase the chance of recovery. Treatment continues until the patient is well enough to breathe on his/her own. More detailed information about the treatment of ARDS can be accessed through the National Heart, Lung and Blood Institute (NHLBI) and Medscape Reference.  An article detailing Oxygen Therapy is also available.",Acute respiratory distress syndrome,GARD
621,What is (are) Interstitial cystitis?,"Interstitial cystitis (IC) is a condition that causes discomfort or pain in the bladder and abdomen. Symptoms may vary, but often include an urgent or frequent need to urinate. Many of the individuals affected by IC are women. Because IC varies so much in symptoms and severity, most researchers believe it is not one, but several diseases. In recent years, scientists have started to use the terms bladder pain syndrome (BPS) or painful bladder syndrome (PBS) to describe cases with painful urinary symptoms that may not meet the strictest definition of IC. While there is no cure for IC/PBS, in many cases, the symptoms can be managed. Treatments include dietary and lifestyle changes; distending, or inflating, the bladder; bathing the inside of the bladder with a medicine solution; oral medicines and in rare cases, surgery.",Interstitial cystitis,GARD
622,What is (are) Andermann syndrome?,"Andermann syndrome (AS) is a disorder that damages the nerves used for muscle movement and sensation (motor and sensory neuropathy). Agenesis or malformation of the corpus callosum also occurs in most people with this disorder. Signs and symptoms of the disorder include areflexia; hypotonia; amyotrophy; severe progressive weakness and loss of sensation in the limbs; and tremors. Affected individuals typically begin walking late and lose this ability by their teenage years. Other features may include intellectual disability, seizures, contractures, scoliosis, various psychiatric symptoms, various atypical physical features, and cranial nerve problems that cause facial muscle weakness, ptosis, and difficulty following movements with the eyes (gaze palsy). It is caused by mutations in the SLC12A6 gene and is inherited in an autosomal recessive manner. AS is associated with a shortened life expectancy, but affected individuals typically live into adulthood.",Andermann syndrome,GARD
623,What causes Hirschsprung's disease?,"What causes Hirschsprung disease? There are a number of different causes of Hirschsprung disease (HSCR). For example, HSCR may occur as: A part of a syndrome In association with a chromosome anomaly (such as trisomy 21 or Down syndrome)  Along with other birth defects but not as a part of a known syndrome As an isolated condition",Hirschsprung's disease,GARD
624,What are the symptoms of Autoimmune atrophic gastritis?,"What are the signs and symptoms of autoimmune atrophic gastritis? In some cases, autoimmune atrophic gastritis does not cause any obvious signs and symptoms. However, some people may experience nausea, vomiting, a feeling of fullness in the upper abdomen after eating, or abdominal pain. It is often associated with impaired absorption of vitamin B12 and possibly other vitamin deficiencies (such as folate and iron). People with vitamin B12 deficiency are at risk for pernicious anemia, a condition in which the body does not have enough healthy red blood cells. Autoimmune atrophic gastritis is considered a ""precancerous"" condition and it may be responsible for the development of gastric adenocarcinoma or carcinoids.",Autoimmune atrophic gastritis,GARD
625,What is (are) Schwannomatosis?,"Schwannomatosis is a rare form of neurofibromatosis that is primarily characterized by multiple schwannomas (benign tumors of the nervous system) in the absence of bilateral (affecting both sides) vestibular schwannomas. Signs and symptoms of the condition vary based on the size, location and number of schwannomas but may include pain; numbness; tingling; and/or weakness in the fingers and toes. Inherited forms of the disorder account for only 15 percent of all cases. In some of these families, schwannomatosis is caused by changes (mutations) in the SMARCB1 or LZTR1 genes; in other cases, the exact underlying cause is unknown. When inherited, the condition is passed down in an autosomal dominant manner with highly variable expressivity and reduced penetrance. Treatment is based on the signs and symptoms present in each person but may include medications and/or surgery.",Schwannomatosis,GARD
626,What is (are) Renal tubular acidosis with deafness?,"Renal tubular acidosis with deafness is characterized by kidney (renal) problems and sensorineural hearing loss. Infants with this condition may have problems with feeding and gaining weight (failure to thrive). Most children and adults with the condition have short stature, and many develop kidney stones. Other less common features include a softening and weakening of the bones and hypokalemic paralysis (extreme muscle weakness associated with low levels of potassium in the blood). Renal tubular acidosis with deafness is caused by mutations in the ATP6V1B1 or ATP6V0A4 gene. It is inherited in an autosomal recessive pattern. Treatment with sodium bicarbonate or sodium citrate can reduce or prevent many of the symptoms of this condition.",Renal tubular acidosis with deafness,GARD
627,What causes Citrullinemia type I?,"What causes citrullinemia type I? Citrullinemia type I is caused by mutations in the ASS1 gene. This gene provides instructions for making an enzyme, argininosuccinate synthetase 1, that is responsible for the third step in the urea cycle. Mutations in the ASS1 gene reduce the activity of the enzyme, which disrupts the urea cycle and prevents the body from processing nitrogen effectively. Excess nitrogen (in the form of ammonia) and other byproducts of the urea cycle accumulate in the bloodstream. Ammonia is particularly toxic to the nervous system, which helps explain the neurologic symptoms (such as lethargy, seizures, and ataxia) that are often seen in this condition.",Citrullinemia type I,GARD
628,What is (are) Turner syndrome?,"Turner syndrome is a chromosomal disorder that affects development in females. It is characterized by a person having one X chromosome in each cell (females without Turner syndrome have two X chromosomes in each cell). Signs and symptoms may include short stature; premature ovarian failure; a ""webbed"" neck; a low hairline at the back of the neck; and swelling (lymphedema) of the hands and feet. Some people with Turner syndrome have skeletal abnormalities, kidney problems, and/or a congenital heart defect. Most affected girls and women have normal intelligence, but some have developmental delays, learning disabilities, and/or behavior problems. Turner syndrome is typically not inherited, but it can be inherited in rare cases. Treatment may include growth hormone therapy for short stature and estrogen therapy to help stimulate sexual development. While most women with Turner syndrome are infertile, assisted reproductive techniques can help some women become pregnant.",Turner syndrome,GARD
629,Is Turner syndrome inherited?,"Is Turner syndrome inherited? Most cases of Turner syndrome are not inherited. Most commonly, Turner syndrome occurs due to a random event during the formation of an egg or sperm cell in a parent (prior to conception). For example, if an egg or sperm cell mistakenly loses a sex chromosome, and joins at conception with an egg or sperm containing an X chromosome, the resulting child will have a single X chromosome in each cell. Mosaic Turner syndrome, occurring when a person has some cells with one X chromosome and some cells with two sex chromosomes, is also not inherited. This also occurs due to a random event, during early fetal development rather than before conception. In rare cases, Turner syndrome may be caused by a missing piece (partial deletion) of the X chromosome. A deletion can be inherited from a parent. Genetic testing of an affected fetus or child can identify the type of Turner syndrome present and may help to estimate the risk of recurrence. People with questions about genetic testing or recurrence risks for Turner syndrome are encouraged to speak with a genetic counselor or other genetics professional.",Turner syndrome,GARD
630,What are the symptoms of Spinocerebellar ataxia 17?,"What are the signs and symptoms of Spinocerebellar ataxia 17? The Human Phenotype Ontology provides the following list of signs and symptoms for Spinocerebellar ataxia 17. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Aggressive behavior - Apraxia - Autosomal dominant inheritance - Bradykinesia - Broad-based gait - Cerebellar atrophy - Chorea - Confusion - Depression - Diffuse cerebral atrophy - Dysarthria - Dysmetria - Dysphagia - Dystonia - Frontal lobe dementia - Frontal release signs - Gait ataxia - Gaze-evoked nystagmus - Gliosis - Hallucinations - Impaired pursuit initiation and maintenance - Intention tremor - Lack of insight - Limb ataxia - Mutism - Myoclonus - Neuronal loss in central nervous system - Paranoia - Parkinsonism - Positive Romberg sign - Progressive - Rigidity - Seizures - Urinary incontinence - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",Spinocerebellar ataxia 17,GARD
631,What are the symptoms of Tricho-dento-osseous syndrome?,"What are the signs and symptoms of Tricho-dento-osseous syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Tricho-dento-osseous syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of dental color 90% Abnormality of dental enamel 90% Craniofacial hyperostosis 90% Frontal bossing 90% Increased bone mineral density 90% Taurodontia 90% Woolly hair 90% Abnormality of frontal sinus 50% Abnormality of the fingernails 50% Abnormality of the ulna 50% Aplasia/Hypoplasia of the radius 50% Carious teeth 50% Delayed eruption of teeth 50% Delayed skeletal maturation 50% Dolichocephaly 50% Malar prominence 50% Round face 50% Abnormality of the hair - Abnormality of the mastoid - Autosomal dominant inheritance - Fragile nails - Microdontia - Widely spaced teeth - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",Tricho-dento-osseous syndrome,GARD
632,What causes Wolff-Parkinson-White syndrome?,"What causes Wolff-Parkinson-White syndrome? Normally, electrical signals in the heart go through a pathway that helps the heart beat regularly. The wiring of the heart prevents extra beats from occurring and keeps the next beat from happening too soon. In people with Wolff Parkinson White syndrome, there is an extra, or accessory, pathway that may cause a very rapid heart rate. This extra electrical pathway is present at birth. A mutation in the PRKAG2 gene  is the cause of a small percentage of cases of the disorder. Otherwise, little is known about why this extra pathway develops.",Wolff-Parkinson-White syndrome,GARD
633,What are the symptoms of Ectodermal dysplasia skin fragility syndrome?,"What are the signs and symptoms of Ectodermal dysplasia skin fragility syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Ectodermal dysplasia skin fragility syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormal blistering of the skin 90% Abnormality of the eyebrow 90% Abnormality of the nail 90% Alopecia 90% Palmoplantar keratoderma 90% Skin ulcer 90% Blepharitis 50% Dry skin 50% Furrowed tongue 50% Malabsorption 50% Pruritus 50% Woolly hair 7.5% Ectodermal dysplasia - Fragile skin - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",Ectodermal dysplasia skin fragility syndrome,GARD
634,What causes Lipedema?,"What causes lipedema? The cause of lipedema is unknown. Hormones appear to play a role, especially considering that the condition occurs almost entirely in females and often develops after puberty or other periods of hormone change (e.g., pregnancy, menopause). Although people who are obese may be overrepresented among those with lipedema, persons of normal weight are also commonly affected. As a result, obesity alone is unlikely to be a major determinant of this syndrome. Many people with lipedema have a family history of similarly enlarged legs. At this time the role of genetics in the causation of lipedema is unknown.",Lipedema,GARD
635,What are the treatments for Bartter syndrome?,"How might Bartter syndrome be treated? Treatment of Bartter syndrome depends on the type of the syndrome that the affected individual has, but it primarily focuses on preventing the loss of too much of potassium from the body. This may include oral potassium (K) supplements, medication such as indomethacin, and potassium-sparing diuretics. In high-stress situations such as illness or trauma, blood electrolyte levels can change rapidly, which may require immediate intravenous treatment. Genetic counseling may benefit affected individuals and their families. eMedicine has an article containing additional, thorough information about the management and treatment of Bartter syndrome. Click here to view this information.",Bartter syndrome,GARD
